Body	Title	Tags	raw	raw_letter	y	length
"<p>I have two dataframes that I'm trying to combine. They each have a multi-index, but those indices have no overlapping levels. The dfs are each the same width.</p>

<p>df1</p>

<pre><code>               v1 v2 v3 v4 v5
location year
       A 1990   1  3  2  1  4
         2000   2  5  0  3  1
       B 1990   6  2  1  2  1
         2000   3  4  5  0  0
</code></pre>

<p>df2</p>

<pre><code>         v1 v2 v3 v4 v5
age sex
  5   M   0  0  1  0  1
      F   1  0  1  1  1
 10   M   1  0  0  0  0
      F   0  1  1  0  0
</code></pre>

<p>I want to make a new dataframe that has entries for every combination of the two indices, with values equal to the product of the values in corresponding columns:</p>

<p>result</p>

<pre><code>                       v1 v2 v3 v4 v5
location year age sex
       A 1990   5   M   0  0  2  0  4
                    F   1  0  2  1  4
               10   M   1  0  0  0  0
                    F   0  3  2  0  0
         2000   5   M   0  0  0  0  1
                    F   2  0  0  3  1
               10   M   2  0  0  0  0
                    F   0  5  0  0  0
       B 1990   5   M   0  0  1  0  1
                .            .
                .            .
                etc
</code></pre>

<p>I think I could join the dfs and then multiply column by column, but I'm wondering if there's a way to do it more automatically, since pandas built in multiplication is so much faster.</p>

<p>Thanks!</p>
"	How to combine two differently multi-indexed pandas dataframes by multiplying column by column	python|pandas	"I have two dataframes that I'm trying to combine. They each have a multi-index, but those indices have no overlapping levels. The dfs are each the same width.
df1
               v1 v2 v3 v4 v5
location year
       A 1990   1  3  2  1  4
         2000   2  5  0  3  1
       B 1990   6  2  1  2  1
         2000   3  4  5  0  0

df2
         v1 v2 v3 v4 v5
age sex
  5   M   0  0  1  0  1
      F   1  0  1  1  1
 10   M   1  0  0  0  0
      F   0  1  1  0  0

I want to make a new dataframe that has entries for every combination of the two indices, with values equal to the product of the values in corresponding columns:
result
                       v1 v2 v3 v4 v5
location year age sex
       A 1990   5   M   0  0  2  0  4
                    F   1  0  2  1  4
               10   M   1  0  0  0  0
                    F   0  3  2  0  0
         2000   5   M   0  0  0  0  1
                    F   2  0  0  3  1
               10   M   2  0  0  0  0
                    F   0  5  0  0  0
       B 1990   5   M   0  0  1  0  1
                .            .
                .            .
                etc

I think I could join the dfs and then multiply column by column, but I'm wondering if there's a way to do it more automatically, since pandas built in multiplication is so much faster.
Thanks!
 How to combine two differently multi-indexed pandas dataframes by multiplying column by column"	I have two dataframes that I m trying to combine  They each have a multi index  but those indices have no overlapping levels  The dfs are each the same width  df                 v  v  v  v  v  location year        A                                                           B                                                     df           v  v  v  v  v  age sex       M                       F                       M                       F                  I want to make a new dataframe that has entries for every combination of the two indices  with values equal to the product of the values in corresponding columns  result                        v  v  v  v  v  location year age sex        A            M                                     F                                     M                                     F                                     M                                     F                                     M                                     F                        B            M                                                                                               etc  I think I could join the dfs and then multiply column by column  but I m wondering if there s a way to do it more automatically  since pandas built in multiplication is so much faster  Thanks   How to combine two differently multi indexed pandas dataframes by multiplying column by column	python pandas	1404
"<p>I have Eclipse CDT Oxygen on Ubuntu 16.04, with the LLVM support installed. LLVM 5.0.0 is installed, and I want to experiment with libc++. The problem is building a project with libc++, but without libstdc++. </p>

<p>The first step is building a simple ""Hello World"" executable using c++ and libc++. For the project properties -> C/C++ Build -> Settings I have the following:</p>

<pre><code>LLVM Clang (all options): -O0 -emit-llvm -g3 -Wall -c -fmessage-length=0 -std=c11
LLVM Clang++ (all options): -O0 -emit-llvm -g3 -Wall -c -fmessage-length=0  -stdlib=libc++ -std=c++17
LLVM Clang linker (all options): -v -L/usr/local/lib -L/usr/lib -L/usr/lib/gcc/x86_64-linux-gnu/5/ -nodefaultlibs
</code></pre>

<p>Note that ""-L/usr/lib/gcc/x86_64-linux-gnu/5/"" is added automatically and I cannot get rid of it.
The linked libraries are (in order): c++, c++abi, m, c, gcc_s, gcc, stdc++
The stdc++ lib is added automatically and seems impossible to strip out. This results in an executable that contains both libc++ and libstdc++ which we don't want. Does anyone know of a way to build a project without libstdc++ but with libc++ ?</p>
"	Eclipse CDT Oxygen with LLVM support forces stdc++	c++|llvm|ubuntu-16.04|eclipse-cdt|clang++	"I have Eclipse CDT Oxygen on Ubuntu 16.04, with the LLVM support installed. LLVM 5.0.0 is installed, and I want to experiment with libc++. The problem is building a project with libc++, but without libstdc++. 
The first step is building a simple ""Hello World"" executable using c++ and libc++. For the project properties -> C/C++ Build -> Settings I have the following:
LLVM Clang (all options): -O0 -emit-llvm -g3 -Wall -c -fmessage-length=0 -std=c11
LLVM Clang++ (all options): -O0 -emit-llvm -g3 -Wall -c -fmessage-length=0  -stdlib=libc++ -std=c++17
LLVM Clang linker (all options): -v -L/usr/local/lib -L/usr/lib -L/usr/lib/gcc/x86_64-linux-gnu/5/ -nodefaultlibs

Note that ""-L/usr/lib/gcc/x86_64-linux-gnu/5/"" is added automatically and I cannot get rid of it.
The linked libraries are (in order): c++, c++abi, m, c, gcc_s, gcc, stdc++
The stdc++ lib is added automatically and seems impossible to strip out. This results in an executable that contains both libc++ and libstdc++ which we don't want. Does anyone know of a way to build a project without libstdc++ but with libc++ ?
 Eclipse CDT Oxygen with LLVM support forces stdc++"	I have Eclipse CDT Oxygen on Ubuntu        with the LLVM support installed  LLVM       is installed  and I want to experiment with libc    The problem is building a project with libc    but without libstdc     The first step is building a simple  Hello World  executable using c   and libc    For the project properties    C C   Build    Settings I have the following  LLVM Clang  all options    O   emit llvm  g   Wall  c  fmessage length    std c   LLVM Clang    all options    O   emit llvm  g   Wall  c  fmessage length     stdlib libc    std c     LLVM Clang linker  all options    v  L usr local lib  L usr lib  L usr lib gcc x      linux gnu     nodefaultlibs  Note that   L usr lib gcc x      linux gnu     is added automatically and I cannot get rid of it  The linked libraries are  in order   c    c  abi  m  c  gcc s  gcc  stdc   The stdc   lib is added automatically and seems impossible to strip out  This results in an executable that contains both libc   and libstdc   which we don t want  Does anyone know of a way to build a project without libstdc   but with libc      Eclipse CDT Oxygen with LLVM support forces stdc  	c++	1137
"<p>I use ' SelectionMode : Row ' now</p>

<p>I already used MouseClickArgs, CheckBox and etc</p>

<p>Q : How to get selected and highlighted row?</p>
"	How to get selected row in C1flexgrid?	c#|c1flexgrid	"I use ' SelectionMode : Row ' now
I already used MouseClickArgs, CheckBox and etc
Q : How to get selected and highlighted row?
 How to get selected row in C1flexgrid?"	I use   SelectionMode   Row   now I already used MouseClickArgs  CheckBox and etc Q   How to get selected and highlighted row   How to get selected row in C flexgrid 	c#	166
"<p>So I have 24 ""person"" objects, which I created using ""names"" array, so that ""dude"" names are repeating;
Next I made a function that compares some random numbers to object id-s, and if they are equal,then I am trying to make new array of person names that go with that id.</p>

<p>(I'm sorry if this sounds too complicated, but I really don't understand why my <strong>map method</strong> doesn't work.)</p>

<p>Here 2 versions of my code. <strong>The first one works, and does what I want.</strong></p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var names = [""jim"", ""jack"", ""aaron"", ""hugh"", ""jeff"", ""cameron"", ""allen"", ""charlie""];
var len = 3,
  arr1 = [],
  counter = 1;

for (var i = 0; i &lt; len; i++) {
  names.forEach(name =&gt; {
    arr1.push({
      id: counter,
      dude: name
    });
    counter++;
  });
}

console.log(arr1);

function checkName(nums) {
  var namesarr = [];
  for (var i = 0; i &lt; arr1.length; i++) {
    nums.forEach(function(num) {
      if (num === arr1[i].id) {
        namesarr.push(arr1[i].dude);
      }
    });
  }
  return (namesarr);
};

console.log(checkName([1, 3, 6]));</code></pre>
</div>
</div>
</p>

<p>But in second version, <strong>my map function returns undefined,</strong> and I really don't understand why?!</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var names = [""jim"", ""jack"", ""aaron"", ""hugh"", ""jeff"", ""cameron"", ""allen"", ""charlie""];
var len = 3,
  arr1 = [],
  counter = 1;


for (var i = 0; i &lt; len; i++) {
  names.forEach(name =&gt; {
    arr1.push({
      id: counter,
      dude: name
    });
    counter++;
  });
}

console.log(arr1);

function checkName(nums) {
  var namesarr;
  for (var i = 0; i &lt; arr1.length; i++) {
    namesarr = nums.map(function(num) {
      if (num === arr1[i].id) {
        return arr1[i].dude;
      }
    });
  }
  return (namesarr);
};
console.log(checkName([1, 3, 6]));</code></pre>
</div>
</div>
</p>
"	Javascript, map returns undefined	javascript|arrays|object|dictionary	"So I have 24 ""person"" objects, which I created using ""names"" array, so that ""dude"" names are repeating;
Next I made a function that compares some random numbers to object id-s, and if they are equal,then I am trying to make new array of person names that go with that id.
(I'm sorry if this sounds too complicated, but I really don't understand why my map method doesn't work.)
Here 2 versions of my code. The first one works, and does what I want.


var names = [""jim"", ""jack"", ""aaron"", ""hugh"", ""jeff"", ""cameron"", ""allen"", ""charlie""];
var len = 3,
  arr1 = [],
  counter = 1;

for (var i = 0; i < len; i++) {
  names.forEach(name => {
    arr1.push({
      id: counter,
      dude: name
    });
    counter++;
  });
}

console.log(arr1);

function checkName(nums) {
  var namesarr = [];
  for (var i = 0; i < arr1.length; i++) {
    nums.forEach(function(num) {
      if (num === arr1[i].id) {
        namesarr.push(arr1[i].dude);
      }
    });
  }
  return (namesarr);
};

console.log(checkName([1, 3, 6]));


But in second version, my map function returns undefined, and I really don't understand why?!


var names = [""jim"", ""jack"", ""aaron"", ""hugh"", ""jeff"", ""cameron"", ""allen"", ""charlie""];
var len = 3,
  arr1 = [],
  counter = 1;


for (var i = 0; i < len; i++) {
  names.forEach(name => {
    arr1.push({
      id: counter,
      dude: name
    });
    counter++;
  });
}

console.log(arr1);

function checkName(nums) {
  var namesarr;
  for (var i = 0; i < arr1.length; i++) {
    namesarr = nums.map(function(num) {
      if (num === arr1[i].id) {
        return arr1[i].dude;
      }
    });
  }
  return (namesarr);
};
console.log(checkName([1, 3, 6]));


 Javascript, map returns undefined"	So I have     person  objects  which I created using  names  array  so that  dude  names are repeating  Next I made a function that compares some random numbers to object id s  and if they are equal then I am trying to make new array of person names that go with that id   I m sorry if this sounds too complicated  but I really don t understand why my map method doesn t work   Here   versions of my code  The first one works  and does what I want    var names     jim    jack    aaron    hugh    jeff    cameron    allen    charlie     var len         arr           counter         for  var i      i   len  i         names forEach name           arr  push          id  counter         dude  name               counter                 console log arr       function checkName nums       var namesarr          for  var i      i   arr  length  i           nums forEach function num           if  num     arr  i  id             namesarr push arr  i  dude                             return  namesarr          console log checkName                But in second version  my map function returns undefined  and I really don t understand why     var names     jim    jack    aaron    hugh    jeff    cameron    allen    charlie     var len         arr           counter           for  var i      i   len  i         names forEach name           arr  push          id  counter         dude  name               counter                 console log arr       function checkName nums       var namesarr     for  var i      i   arr  length  i           namesarr   nums map function num           if  num     arr  i  id             return arr  i  dude                            return  namesarr        console log checkName                 Javascript  map returns undefined	javascript arrays	1759
"<p>I want to extract only jms message text without headers and properties from jms message.
To extract JMS header :<code>msg.getJMSCorrelationID()</code>;
To extract JMS properties:<code>jmsMessage.getPropertyNames()</code>
But how to get only the text value from the message?
In the below sample message I want to extract only ""<strong>hello queue</strong>"".Is there a java function to do this?
<a href=""https://i.stack.imgur.com/p7Mrb.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/p7Mrb.png"" alt=""jms message sample""></a></p>
"	Extract jms text content	java|jms|message-queue	"I want to extract only jms message text without headers and properties from jms message.
To extract JMS header :msg.getJMSCorrelationID();
To extract JMS properties:jmsMessage.getPropertyNames()
But how to get only the text value from the message?
In the below sample message I want to extract only ""hello queue"".Is there a java function to do this?

 Extract jms text content"	I want to extract only jms message text without headers and properties from jms message  To extract JMS header  msg getJMSCorrelationID    To extract JMS properties jmsMessage getPropertyNames   But how to get only the text value from the message  In the below sample message I want to extract only  hello queue  Is there a java function to do this    Extract jms text content	java	376
"<p>I'm building an app that will contain a number of routes, each defined as an NgModule. Each module is pretty similar, so I'd like to abstract it to a reusable function which takes a set of components, and builds a top-level <code>@Component</code> and <code>@NgModule</code>.</p>

<p>So here's one of those modules:</p>

<pre><code>import { makeModule } from './module-factory';
import { Component } from '@angular/core';

@Component({
  selector: 'app-component-1',
  template: `&lt;p&gt;First Component&lt;/p&gt;`
})
export class FirstComponent {}

@Component({
  selector: 'app-component-2',
  template: `&lt;p&gt;Second Component&lt;/p&gt;`
})
export class SecondComponent {}

export const FooModule = makeModule('foo', [FirstComponent, SecondComponent]);
</code></pre>

<p>And here's the <code>makeModule()</code> function I'm trying to build:</p>

<pre><code>import { NgModule, Component } from '@angular/core';
import { CommonModule } from '@angular/common';
import { Route, RouterModule } from '@angular/router';

export const makeEntryComponent = (components: any[]) =&gt; {
  @Component({
    template: `&lt;p&gt;Entry Component&lt;/p&gt;
      &lt;ng-container *ngFor=""let component of components""&gt;
        &lt;ng-container *ngComponentOutlet=""component""&gt;&lt;/ng-container&gt;
      &lt;/ng-container&gt;
    `
  })
  class EntryComponent {
    components = components;
  }
  return EntryComponent;
};
export const makeModule = (componentName: string, components: any[]): any =&gt; {
  const EntryComponent = makeEntryComponent(components);
  const routes: Route[] = [{ path: componentName, component: EntryComponent }];
  const declarations = [EntryComponent, ...components];

  @NgModule({
    imports: [CommonModule, RouterModule.forChild(routes)],
    declarations,
    entryComponents: components,
    exports: [EntryComponent]
  })
  class Module {}
  return Module;
};
</code></pre>

<p>So this works fine using the JIT compiler, but as soon as I run <code>ng serve --aot</code>, it fails with:</p>

<blockquote>
  <p>ERROR in Error: Error encountered resolving symbol values statically. Function calls are not supported. Consider replacing the function or lambda with a reference to an exported function (position 18:27 in the original .ts file), resolving symbol makeModule in C:/Users/IGEN261/code/github/ng-dynamic/src/app/module-factory.ts, resolving symbol FooModule in C:/Users/IGEN261/code/github/ng-dynamic/src/app/foo.module.ts, resolving symbol FooModule in C:/Users/IGEN261/code/github/ng-dynamic/src/app/foo.module.ts, resolving symbol AppModule in C:/Users/IGEN261/code/github/ng-dynamic/src/app/app.module.ts, resolving symbol AppModule in C:/Users/IGEN261/code/github/ng-dynamic/src/app/app.module.ts</p>
</blockquote>

<p>I feel like there has to be a way to make this consistent with AOT, but I'm not sure how. Should I be structuring my code in a different manner? Or do I have to abandon any prospect of DRY in this codebase to make it AOT-compatible?</p>

<p><em>FYI</em> - the full project is available at GitHub here:<a href=""https://github.com/mattdsteele/ng-dynamic-aot"" rel=""nofollow noreferrer"">https://github.com/mattdsteele/ng-dynamic-aot</a></p>
"	"How can I create AOT-compatible ""dynamic"" Modules? (Error encountered resolving symbol values statically. Function calls are not supported.)"	angular|typescript|angular2-aot|angular-aot	"I'm building an app that will contain a number of routes, each defined as an NgModule. Each module is pretty similar, so I'd like to abstract it to a reusable function which takes a set of components, and builds a top-level @Component and @NgModule.
So here's one of those modules:
import { makeModule } from './module-factory';
import { Component } from '@angular/core';

@Component({
  selector: 'app-component-1',
  template: `<p>First Component</p>`
})
export class FirstComponent {}

@Component({
  selector: 'app-component-2',
  template: `<p>Second Component</p>`
})
export class SecondComponent {}

export const FooModule = makeModule('foo', [FirstComponent, SecondComponent]);

And here's the makeModule() function I'm trying to build:
import { NgModule, Component } from '@angular/core';
import { CommonModule } from '@angular/common';
import { Route, RouterModule } from '@angular/router';

export const makeEntryComponent = (components: any[]) => {
  @Component({
    template: `<p>Entry Component</p>
      <ng-container *ngFor=""let component of components"">
        <ng-container *ngComponentOutlet=""component""></ng-container>
      </ng-container>
    `
  })
  class EntryComponent {
    components = components;
  }
  return EntryComponent;
};
export const makeModule = (componentName: string, components: any[]): any => {
  const EntryComponent = makeEntryComponent(components);
  const routes: Route[] = [{ path: componentName, component: EntryComponent }];
  const declarations = [EntryComponent, ...components];

  @NgModule({
    imports: [CommonModule, RouterModule.forChild(routes)],
    declarations,
    entryComponents: components,
    exports: [EntryComponent]
  })
  class Module {}
  return Module;
};

So this works fine using the JIT compiler, but as soon as I run ng serve --aot, it fails with:

ERROR in Error: Error encountered resolving symbol values statically. Function calls are not supported. Consider replacing the function or lambda with a reference to an exported function (position 18:27 in the original .ts file), resolving symbol makeModule in C:/Users/IGEN261/code/github/ng-dynamic/src/app/module-factory.ts, resolving symbol FooModule in C:/Users/IGEN261/code/github/ng-dynamic/src/app/foo.module.ts, resolving symbol FooModule in C:/Users/IGEN261/code/github/ng-dynamic/src/app/foo.module.ts, resolving symbol AppModule in C:/Users/IGEN261/code/github/ng-dynamic/src/app/app.module.ts, resolving symbol AppModule in C:/Users/IGEN261/code/github/ng-dynamic/src/app/app.module.ts

I feel like there has to be a way to make this consistent with AOT, but I'm not sure how. Should I be structuring my code in a different manner? Or do I have to abandon any prospect of DRY in this codebase to make it AOT-compatible?
FYI - the full project is available at GitHub here:https://github.com/mattdsteele/ng-dynamic-aot
 How can I create AOT-compatible ""dynamic"" Modules? (Error encountered resolving symbol values statically. Function calls are not supported.)"	I m building an app that will contain a number of routes  each defined as an NgModule  Each module is pretty similar  so I d like to abstract it to a reusable function which takes a set of components  and builds a top level  Component and  NgModule  So here s one of those modules  import   makeModule   from    module factory   import   Component   from   angular core     Component     selector   app component       template    p First Component  p      export class FirstComponent      Component     selector   app component       template    p Second Component  p      export class SecondComponent     export const FooModule   makeModule  foo    FirstComponent  SecondComponent     And here s the makeModule   function I m trying to build  import   NgModule  Component   from   angular core   import   CommonModule   from   angular common   import   Route  RouterModule   from   angular router    export const makeEntryComponent    components  any            Component       template    p Entry Component  p         ng container  ngFor  let component of components            ng container  ngComponentOutlet  component    ng container          ng container               class EntryComponent       components   components        return EntryComponent     export const makeModule    componentName  string  components  any     any        const EntryComponent   makeEntryComponent components     const routes  Route        path  componentName  component  EntryComponent       const declarations    EntryComponent     components       NgModule       imports   CommonModule  RouterModule forChild routes        declarations      entryComponents  components      exports   EntryComponent         class Module      return Module      So this works fine using the JIT compiler  but as soon as I run ng serve   aot  it fails with   ERROR in Error  Error encountered resolving symbol values statically  Function calls are not supported  Consider replacing the function or lambda with a reference to an exported function  position       in the original  ts file   resolving symbol makeModule in C  Users IGEN    code github ng dynamic src app module factory ts  resolving symbol FooModule in C  Users IGEN    code github ng dynamic src app foo module ts  resolving symbol FooModule in C  Users IGEN    code github ng dynamic src app foo module ts  resolving symbol AppModule in C  Users IGEN    code github ng dynamic src app app module ts  resolving symbol AppModule in C  Users IGEN    code github ng dynamic src app app module ts  I feel like there has to be a way to make this consistent with AOT  but I m not sure how  Should I be structuring my code in a different manner  Or do I have to abandon any prospect of DRY in this codebase to make it AOT compatible  FYI   the full project is available at GitHub here https   github com mattdsteele ng dynamic aot  How can I create AOT compatible  dynamic  Modules   Error encountered resolving symbol values statically  Function calls are not supported  	angular typescript	2999
"<p>I am trying to read in from a data file that has lines like:</p>

<pre><code>2007 ANDREA 30 31.40 -71.90 05/13/18Z 25 1007 LOW

2007 ANDREA 31 31.80 -69.40 05/14/00Z 25 1007 LOW
</code></pre>

<p>I am trying to create a nested dictionary that has a key holding the year and then the nested dictionary will hold the name and a tuple containing statistics. I would like the return value to look like this:</p>

<pre><code>{'2007': {'ANDREA': [(31.4, -71.9, '05/13/18Z', 25.0, 1007.0), (31.8, -69.4, '05/14/00Z', 25.0, 1007.0)] 
</code></pre>

<p>However when I run the code it returns only one set of statistics. It seems to be overwriting itself because I am getting that last line of statistics in the txt file returned:</p>

<pre><code>{'2007': {'ANDREA': [(31.8, -69.4, '05/14/00Z', 25.0, 1007.0)]
</code></pre>

<p>Here is the code:</p>

<pre><code>def create_dictionary(fp):
'''Remember to put a docstring here'''
   dict1 = {}
   f = []
   for line in fp:
       a = line.split()
       f.append(a)
   for item in f:
       a = (float(item[3]), float(item[4]), item[5], float(item[6]), 
   float(item[7]))

       dict1 = update_dictionary(dict1, item[0], item[1], a))                                        

   print(dict1)

def update_dictionary(dictionary, year, hurricane_name, data):

   if year not in dictionary:
        dictionary[year] = {}

        if hurricane_name not in dictionary:
            dictionary[year][hurricane_name] = [data]

        else:
            dictionary[year][hurricane_name].append(data)      

    else:    
        if hurricane_name not in dictionary:
            dictionary[year][hurricane_name] = [data]

        else:
            dictionary[year][hurricane_name].append(data)

    return dictionary  
</code></pre>
"	Nested dictionary keeps overwriting data	python|dictionary	"I am trying to read in from a data file that has lines like:
2007 ANDREA 30 31.40 -71.90 05/13/18Z 25 1007 LOW

2007 ANDREA 31 31.80 -69.40 05/14/00Z 25 1007 LOW

I am trying to create a nested dictionary that has a key holding the year and then the nested dictionary will hold the name and a tuple containing statistics. I would like the return value to look like this:
{'2007': {'ANDREA': [(31.4, -71.9, '05/13/18Z', 25.0, 1007.0), (31.8, -69.4, '05/14/00Z', 25.0, 1007.0)] 

However when I run the code it returns only one set of statistics. It seems to be overwriting itself because I am getting that last line of statistics in the txt file returned:
{'2007': {'ANDREA': [(31.8, -69.4, '05/14/00Z', 25.0, 1007.0)]

Here is the code:
def create_dictionary(fp):
'''Remember to put a docstring here'''
   dict1 = {}
   f = []
   for line in fp:
       a = line.split()
       f.append(a)
   for item in f:
       a = (float(item[3]), float(item[4]), item[5], float(item[6]), 
   float(item[7]))

       dict1 = update_dictionary(dict1, item[0], item[1], a))                                        

   print(dict1)

def update_dictionary(dictionary, year, hurricane_name, data):

   if year not in dictionary:
        dictionary[year] = {}

        if hurricane_name not in dictionary:
            dictionary[year][hurricane_name] = [data]

        else:
            dictionary[year][hurricane_name].append(data)      

    else:    
        if hurricane_name not in dictionary:
            dictionary[year][hurricane_name] = [data]

        else:
            dictionary[year][hurricane_name].append(data)

    return dictionary  

 Nested dictionary keeps overwriting data"	I am trying to read in from a data file that has lines like       ANDREA                         Z         LOW       ANDREA                         Z         LOW  I am trying to create a nested dictionary that has a key holding the year and then the nested dictionary will hold the name and a tuple containing statistics  I would like the return value to look like this             ANDREA                           Z                                         Z                    However when I run the code it returns only one set of statistics  It seems to be overwriting itself because I am getting that last line of statistics in the txt file returned             ANDREA                           Z                   Here is the code  def create dictionary fp      Remember to put a docstring here       dict          f         for line in fp         a   line split          f append a     for item in f         a    float item      float item      item     float item          float item              dict    update dictionary dict   item     item     a                                               print dict    def update dictionary dictionary  year  hurricane name  data       if year not in dictionary          dictionary year                if hurricane name not in dictionary              dictionary year  hurricane name     data           else              dictionary year  hurricane name  append data             else              if hurricane name not in dictionary              dictionary year  hurricane name     data           else              dictionary year  hurricane name  append data       return dictionary     Nested dictionary keeps overwriting data	python	1674
"<p>I created a plot with a custom legend in <code>ggplot2</code>. I tryed to dray a box around all the items of the legend, however I drawed a box around each item. How can I create only one box around all the items?</p>

<pre><code>library(ggplot2)

ggplot(mpg, aes(displ, cty)) + 
  geom_point(aes(shape = ""Data"")) +
  stat_smooth(aes(linetype = ""Regression""), method = ""lm"", 
              formula = y ~ x, se = FALSE, colour = 1, size = 0.5) +
  scale_shape_manual(values = 1) +
  labs(shape = """", linetype = """") +
  theme_classic() + 
  theme(panel.border = element_rect(colour = ""black"", fill=NA),
        aspect.ratio = 1, axis.text = element_text(colour = 1, size = 12),
        legend.background = element_rect(linetype = 2, size = 0.5, colour = 1))
</code></pre>

<p><a href=""https://i.stack.imgur.com/9ivvI.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/9ivvI.png"" alt=""enter image description here""></a></p>
"	Draw a box around a legend ggplot2	r|ggplot2|legend|legend-properties	"I created a plot with a custom legend in ggplot2. I tryed to dray a box around all the items of the legend, however I drawed a box around each item. How can I create only one box around all the items?
library(ggplot2)

ggplot(mpg, aes(displ, cty)) + 
  geom_point(aes(shape = ""Data"")) +
  stat_smooth(aes(linetype = ""Regression""), method = ""lm"", 
              formula = y ~ x, se = FALSE, colour = 1, size = 0.5) +
  scale_shape_manual(values = 1) +
  labs(shape = """", linetype = """") +
  theme_classic() + 
  theme(panel.border = element_rect(colour = ""black"", fill=NA),
        aspect.ratio = 1, axis.text = element_text(colour = 1, size = 12),
        legend.background = element_rect(linetype = 2, size = 0.5, colour = 1))


 Draw a box around a legend ggplot2"	I created a plot with a custom legend in ggplot   I tryed to dray a box around all the items of the legend  however I drawed a box around each item  How can I create only one box around all the items  library ggplot    ggplot mpg  aes displ  cty        geom point aes shape    Data        stat smooth aes linetype    Regression    method    lm                  formula   y   x  se   FALSE  colour      size            scale shape manual values          labs shape       linetype           theme classic        theme panel border   element rect colour    black   fill NA           aspect ratio      axis text   element text colour      size                legend background   element rect linetype      size        colour          Draw a box around a legend ggplot 	r	764
"<p>I have a array of quote items that created dynamically by user. By default there is an item in list. When I click on new item, a null object <code>push</code> to array. Until now every things is OK, but when I add 3rd record, 2nd and 3rd record confuse to each other and every things that change in 3rd record as real time apply to 2nd record. It's my sample code:</p>

<p><a href=""https://codepen.io/anon/pen/gXZLZy"" rel=""nofollow noreferrer"">https://codepen.io/anon/pen/gXZLZy</a></p>

<p><strong>This problem has raised after adding the deletion function</strong></p>

<p>What should I do?</p>
"	Confuse in list rendering when add remove action in Vuejs	arrays|scope|vuejs2	"I have a array of quote items that created dynamically by user. By default there is an item in list. When I click on new item, a null object push to array. Until now every things is OK, but when I add 3rd record, 2nd and 3rd record confuse to each other and every things that change in 3rd record as real time apply to 2nd record. It's my sample code:
https://codepen.io/anon/pen/gXZLZy
This problem has raised after adding the deletion function
What should I do?
 Confuse in list rendering when add remove action in Vuejs"	I have a array of quote items that created dynamically by user  By default there is an item in list  When I click on new item  a null object push to array  Until now every things is OK  but when I add  rd record   nd and  rd record confuse to each other and every things that change in  rd record as real time apply to  nd record  It s my sample code  https   codepen io anon pen gXZLZy This problem has raised after adding the deletion function What should I do   Confuse in list rendering when add remove action in Vuejs	arrays	522
"<p>I've tried searching for pyHook documentation but failed to understand it... </p>

<p>I've also tried watching many tutorials on youtube but they won't explain how to do it, instead they just do it.</p>

<p>I've also searched on StackOverflow posts BUT they are mostly related to games, and store keystrokes made on the python interpreter instead of Windows.</p>
"	How could i store keyboard input in Windows using Python 3?	python|python-3.x|input|keylogger	"I've tried searching for pyHook documentation but failed to understand it... 
I've also tried watching many tutorials on youtube but they won't explain how to do it, instead they just do it.
I've also searched on StackOverflow posts BUT they are mostly related to games, and store keystrokes made on the python interpreter instead of Windows.
 How could i store keyboard input in Windows using Python 3?"	I ve tried searching for pyHook documentation but failed to understand it     I ve also tried watching many tutorials on youtube but they won t explain how to do it  instead they just do it  I ve also searched on StackOverflow posts BUT they are mostly related to games  and store keystrokes made on the python interpreter instead of Windows   How could i store keyboard input in Windows using Python   	python python-3.x	403
